order_no,issued_date,revoked_date,closes_area,species,closure_type
PTN-2014-506,2014-12-16,2014-12-17,SA 24-6 to 24-8,All BM except Gducks & Hclams,biotoxins
PTN-2014-507,2014-12-16,2015-01-27,"SA 24-3, 24-4, 24-9, 24-13 and 24-14","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2014-508,2014-12-17,2015-01-27,"Area 24 except SA 24-2 to 24-9, 24-13 and 24-14",All BM ,biotoxins
PTN-2014-509,2014-12-17,2015-01-27,"SA 24-2, 24-5 to 24-8",All BM except Gducks & Hclams,biotoxins
PTN-2014-510,2014-12-17,2015-01-26,SA 14-1 to 14-4 and 14-13,"ALL BM EXCEPT MANILA, LITTLENECK, OYSTERS, MUSSELS, GDUCK, HCLAMS",biotoxins
PTN-2014-511,2014-12-17,2015-02-06,"Area 26, except 26-3",All BM,biotoxins
PTN-2014-512,2014-12-17,NA,SA 26-3,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2014-513,2014-12-17,2015-01-07,"Area 6, except portion SA 6-9",ALL BM,biotoxins
PTN-2014-514,2014-12-17,2015-01-07,SA 6-9 (portion only),All BM except Gducks & Hclams,biotoxins
PTN-2014-515,2014-12-18,NA,Area 21 and 22 (ROLL OVER),All B.M.,biotoxins
PTN-2014-516,2014-12-18,NA,"Area 28, roll-over",All BM ,biotoxins
PTN-2014-517,2014-12-18,NA,Areas 11 and 111 (roll over),All BM,biotoxins
PTN-2014-518,2014-12-18,NA,"Areas 121, 123 to 127 (roll over)",All BM,biotoxins
PTN-2014-519,2014-12-18,2015-11-12,"Area 3, roll-over",All BM,biotoxins
PTN-2014-520,2014-12-18,2015-11-18,"Area 27, roll-over",All BM,biotoxins
PTN-2014-521,2014-12-18,NA,"Area 10, roll over",All BM,biotoxins
PSN-2014-522,2014-12-18,2015-01-02,Area 14 (Subarea 14-13) rainfall,All BM,sanitary closure
PTN-2014-523,2014-12-19,2015-01-02,"Area 12, except SA 12-6 and 12-26",ALL BM,biotoxins
PTN-2014-524,2014-12-19,2015-01-02,SA 12-6 and 12-26,ALL BM except butterclams and cockles,biotoxins
PTN-2014-525,2014-12-29,2015-01-05,Area 25 except SA 25-4 to  25-8 and 25-15,All BM,biotoxins
PTN-2014-526,2014-12-29,2015-01-05," SA 25-4, 25-5, 25-7 and 25-8","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2014-527,2014-12-29,2015-01-05,SA 25-6 ,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2014-528,2014-12-29,2015-01-05,"SA 17-4, 7-5, portion of 17-6, 17-8, 17-17","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2014-529,2014-12-29,2015-01-02,"SA 17-1 to 17-3, 17-7, 17-18 to 17-20","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2014-530,2014-12-29,2015-01-02,"SA 17-9, 17-10, 17-12 to 17-16, 17-21 and ptn 17-6 (kuper Island)",ALL BM,biotoxins
PTN-2014-531,2014-12-29,2015-02-11,"Area 2 except SA 2-3, 2-6, 2-7 ",All BM,biotoxins
PTN-2014-532,2014-12-29,2015-02-11,"SA 2-3, 2-6, 2-7 ",All BM except geoduck and horseclams,biotoxins
PTN-2015-1,2015-01-02,2015-01-05,"Area 23, except SA 23-3, ptn 23-6",All BM,biotoxins
PTN-2015-2,2015-01-02,2015-01-05,SA 23-3 and 23-6 (except that portion NE useless inlet),"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-3,2015-01-02,2015-01-09,"Area 7, except SA 7-12,  7-17and 7-21",ALL BM,biotoxins
PTN-2015-4,2015-01-02,2015-01-09,"SA 7-12,7-17 and 7-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-5,2015-01-02,2015-01-22,Area 12,ALL BM,biotoxins
PTN-2015-6,2015-01-02,2015-01-06,"Area 13 except SA 13-1, 13-3 to 13-14, 13-16, 13-17",All B.M.,biotoxins
PTN-2015-7,2015-01-02,2015-01-06,"Area 13 except SA 13-1,13-3 to 13-14, 13-16, 13-1714-5, 14-8, 14-15, 15-4, ptn 15-5 (15.B and 15.C) and 17-20",Scallops,biotoxins
PTN-2015-8,2015-01-02,2015-01-05,"SA 17-3, 17-7, 17-11, 17-18 to 17-20","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-9,2015-01-02,2015-01-06,Area 18,All BM,biotoxins
PTN-2015-10,2015-01-02,2015-01-05,"SA 17-1, 17-2, 17-9, 17-10, 17-12 to 17-16, 17-21 and ptn 17-6 (kuper Island)",All BM ,biotoxins
PTN-2015-11,2015-01-05,2015-01-23,Area 25 except SA 25-4 to 25-15,All BM,biotoxins
PTN-2015-12,2015-01-05,2015-01-23," SA 25-4, 25-5, 25-7 to 25-11 and 25-14","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-13,2015-01-05,2015-01-26,"SA 25-6, 25-12 and 25-13 ","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-14,2015-01-05,2015-01-09,"Area 23, except SA 23-3, 23-6",All BM,biotoxins
PTN-2015-15,2015-01-05,2015-01-09,SA 23-3 and 23-6 ,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-16,2015-01-05,2015-01-06,"SA 17-1, 17-2, 17-9  and ptn 17-6 (kuper Island)",All BM ,biotoxins
PTN-2015-17,2015-01-05,2015-01-22,"SA 17-4, 7-5, 17-8, 17-10, 17-13, 17-15, 17-17, portion of 17-6","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-18,2015-01-05,2015-01-06,"SA 17-3, 17-7, 17-11,  17-12, 17-14, 17-18 to 17-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-19,2015-01-05,2015-04-29,SA17-16,"All BM except Manila, littleneck, oysters, mussels,  cockles, Gducks & Hclams",biotoxins
PTN-2015-20,2015-01-06,2015-01-09,"Area 13 except SA 13-1, 13-3 to 13-17",All B.M.,biotoxins
PTN-2015-21,2015-01-06,2015-01-09,"Area 13 except SA 13-1,13-3 to 13-17, 14-5, 14-8, 14-15, 15-4, ptn 15-5 (15.B and 15.C) and 17-20",Scallops,biotoxins
PTN-2015-22,2015-01-06,2015-01-08,SA 17-9  and ptn 17-6 (kuper Island),All BM ,biotoxins
PTN-2015-23,2015-01-06,2015-01-08,"SA 17-1 to 17-3, 17-7, 17-11,  17-12, 17-14, 17-18 to 17-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-24,2015-01-06,2015-02-13,"Area 18, except SA 18-2, 18-3 and 18-7",All BM,biotoxins
PTN-2015-25,2015-01-06,2015-02-13,"SA 18-2, 18-3 and 18-7","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-26,2015-01-07,NA,Area 5,All BM,biotoxins
PTN-2015-27,2015-01-07,2016-02-11,Area 6,ALL BM,biotoxins
PTN-2015-28,2015-01-07,2015-08-20,"Area 101 to 110, 130 and 142",All BM,biotoxins
PTN-2015-29,2015-01-08,2015-01-22,SA ptn 17-6 (kuper Island),All BM ,biotoxins
PTN-2015-30,2015-01-08,2015-01-26,"SA 17-1 to 17-3, 17-7, 17-9, 17-11,  17-12, 17-14, 17-18 to 17-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-31,2015-01-09,2015-01-26,"Area 13 except SA 13-1, 13-12 to 13-17",All B.M.,biotoxins
PTN-2015-32,2015-01-09,2015-01-27,"Area 1 to 29 except SA 13-1,13-12 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5 and 17-20",Scallops,biotoxins
PTN-2015-33,2015-01-09,2015-01-14,"Area 23, except SA 23-3, ptn 23-6 (except north of a line, Effingham Inlet)",All BM,biotoxins
PTN-2015-34,2015-01-09,2015-01-14,SA 23-3 and ptn 23-6 (except effigham Inlet),"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-35,2015-01-09,2015-02-06,"Area 7, except SA 7-12,  7-17 and 7-21 to 7-24",ALL BM,biotoxins
PTN-2015-36,2015-01-09,2015-02-06,"SA 7-12,7-17 and 7-21 to 7-24","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-37,2015-01-09,2015-01-27,"Area 15, except 15-1 to  15-4 and 15-5",All B.M.,biotoxins
PTN-2015-38,2015-01-09,2015-01-27,"SA 15-1, 15-4, 15-5 and 15-5","ALL BM except manila, littleneck, oysters, mussels",biotoxins
PTN-2015-39,2015-01-14,2015-02-06,"Area 23, except SA 23-3 and 23-6)",All BM,biotoxins
PTN-2015-40,2015-01-14,2015-02-06,SA 23-3 and 23-6,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PSN-2015-41,2015-01-19,2015-01-29,Baynes Sound section B,All BM,sanitary closure
PTN-2015-42,2015-01-22,2015-01-30,"Area 12, except 12-16 and 12-17",ALL BM,biotoxins
PTN-2015-43,2015-01-22,2015-01-30,SA 12-16 and 12-17,ALL BM except Butter clams and Cockles,biotoxins
PTN-2015-44,2015-01-22,2015-01-26,"SA 17-4 to 17-6, 17-8, 17-10, 17-13, 17-15, 17-17","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-45,2015-01-23,2015-01-29,"Area 16 except SA 16-5 to 16-9, 16-11 to 16-13, 16-19 to 16-22",All B.M.,biotoxins
PTN-2015-46,2015-01-23,2015-01-26,SA 16-19 to 16-22,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-47,2015-01-23,2015-01-26,"SA 16-11, 16-16 ","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-48,2015-01-23,2015-01-27,"Area 25 except SA 25-4 to 25-8, 25-11 to 25-15",All BM,biotoxins
PTN-2015-49,2015-01-23,2015-01-27," SA 25-4, 25-5, 25-7, 25-8,  25-11 to 25-14","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-50,2015-01-23,2015-07-22,Area 29,All BM,biotoxins
PTN-2015-51,2015-01-26,2015-02-13,"Area 13 except SA 13-1, 13-12 to 13-16",All B.M.,biotoxins
PTN-2015-52,2015-01-26,2015-07-03,SA 13-17,Gducks and Hclams,biotoxins
PTN-2015-53,2015-01-26,2015-01-30,SA 14-3 and 14-13,"ALL BM EXCEPT MANILA, LITTLENECK, OYSTERS, MUSSELS, GDUCK, HCLAMS",biotoxins
PTN-2015-54,2015-01-26,2015-01-30,"SA 14-1, 14-2 and 14-4","ALL BM except Manila, Littleneck, oysters and mussels",biotoxins
PTN-2015-55,2015-01-27,2015-10-08,"Area 15, except 15-1 to  15-4, 15-5 (except ptn south of)",All B.M.,biotoxins
PTN-2015-56,2015-01-27,2015-07-03,"SA 15-1, 15-4, 15-5 (except ptn south of)","ALL BM except manila, littleneck, oysters, mussels",biotoxins
PTN-2015-57,2015-01-26,2015-01-29,SA 16-19 and 16-22,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-58,2015-01-26,2015-01-29,"SA 16-11, 16-16, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-59,2015-01-26,2015-02-13,SA 17-5 and  17-6,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-60,2015-01-26,2015-02-13,"SA 17-1 to 17-4, 17-7 to 17-15, 17-17 to 17-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-61,2015-01-27,NA,"Area 20, except 20-1 to 20-5",ALL BM,biotoxins
PTN-2015-62,2015-01-27,NA,SA 20-6 and 20-7,Gducks and Hclams,biotoxins
PTN-2015-63,2015-01-27,2015-02-27,"Area 24 except SA 24-2 to 24-7, 24-9, 24-13 and 24-14",All BM ,biotoxins
PTN-2015-64,2015-01-27,2015-02-27,"SA 24-2, 24-5 to 24-7",All BM except Gducks & Hclams,biotoxins
PTN-2015-65,2015-01-27,2015-02-27,"SA 24-3, 24-4, 24-13 and 24-14","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-66,2015-01-27,2015-03-17,SA 24-9,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-67,2015-01-27,2015-02-05,"Area 25 except SA 25-4 to 25-8, 25-11 to 25-14",All BM,biotoxins
PTN-2015-68,2015-01-27,2015-02-05," SA 25-4 to 25-8,  25-11 to 25-14","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-69,2015-01-27,2015-02-13,"Area 1 to 29 except SA 13-1,13-12 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5 (except ptn south of) and 17-20",Scallops,biotoxins
PTN-2015-70,2015-01-29,2015-02-10,"Area 16 except SA 16-5 to 16-13, 16-16 to 16-22",All B.M.,biotoxins
PTN-2015-71,2015-01-29,2015-02-10,"SA 16-1, 16-2, 16-17, 16-19 and 16-22","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-72,2016-01-29,2015-02-10,"SA 16-3, 16-4, 16-10, 16-11, 16-16, 16-18, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-73,2015-01-30,2015-02-03,"Area 12, except 12-6, 12-16 and 12-17, 12-26",ALL BM,biotoxins
PTN-2015-74,2015-01-30,2015-02-03,"SA 12-6, 12-16 and 12-17, 12-26",ALL BM except Butter clams and Cockles,biotoxins
PTN-2015-75,2015-01-30,2015-05-08,SA 14-3,"ALL BM EXCEPT MANILA, LITTLENECK, OYSTERS, MUSSELS, GDUCK, HCLAMS",biotoxins
PTN-2015-76,2015-01-30,2015-05-08,"SA 14-1, 14-2 and 14-4, 14-13","ALL BM except Manila, Littleneck, oysters and mussels",biotoxins
PTN-2015-77,2015-02-03,2015-02-05,"Area 12, except 12-6 and 12-26",ALL BM,biotoxins
PTN-2015-78,2015-02-03,2015-02-05,"SA 12-6, AND 12-26",ALL BM except Butter clams and Cockles,biotoxins
PTN-2015-79,2015-02-05,2015-02-12,Area 25 except SA 25-4 to 25-14,All BM,biotoxins
PTN-2015-80,2015-02-05,2015-02-12, SA 25-4 to 25-14,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-81,2015-02-05,2015-02-17,"Area 12, except 12-6, 12-16, 12-17, and 12-26",ALL BM,biotoxins
PTN-2015-82,2015-02-05,2015-02-17,"SA 12-6, 12-16, 12-17 AND 12-26",ALL BM except Butter clams and Cockles,biotoxins
PSN-2015-83,2015-02-06,2015-02-19,Close Baynes Sound Section B 14.22B,All BM,sanitary closure
PSN-2015-84,2015-02-06,2015-02-25,Closes Baynes Sound Section A 14.22A,All BM,sanitary closure
PTN-2015-85,2015-02-06,2015-02-10,"Area 7, except SA 7-12,  7-17 and 7-21 ",ALL BM,biotoxins
PTN-2015-86,2015-02-06,2015-02-10,"SA 7-12,7-17 and 7-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-87,2015-02-06,2015-02-20,"Area 23, except SA 23-3 to 23-5 and and ptn 23-6",All BM,biotoxins
PTN-2015-88,2015-02-06,2015-02-20,SA 23-3 to 23-5 and ptn 23-6,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-89,2015-02-06,2015-03-03,Area 26,All BM,biotoxins
PTN-2015-90,2015-02-10,2015-02-13,"Area 16 except SA 16-5 to 16-9, 16-11 to 16-13, 16-16, 16-19 to 16-22",All B.M.,biotoxins
PTN-2015-91,2015-02-10,2015-02-13,SA 16-19 and 16-22,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-92,2015-02-10,2015-02-13,"SA 16-11, 16-16, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-93,2015-02-11,2015-02-19,"Area 2 except SA 2-3,2-7 ",All BM,biotoxins
PTN-2015-94,2015-02-11,2015-02-19,"SA 2-3, 2-7 ",All BM except geoduck and horseclams,biotoxins
PTN-2015-95,2015-02-12,2015-03-27,ptn of SA 13-1 (Sutil Point),"All BM except manila, littleneck, oysters, mussels, pink and spiny scallops, geoduck and horseclams",biotoxins
PTN-2015-96,2015-02-12,2015-04-29,Area 25 except SA 25-1 to 25-15,All BM,biotoxins
PTN-2015-97,2015-02-12,2015-04-29, SA 25-1 to 25-15,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-98,2015-02-12,2015-03-27,PTN SA 13-1 (Sutil Point),"ALL BM, except Manila, Littlenecks, oysters and mussels, Pink and Spiny Scallops",biotoxins
PTN-2015-99,2015-02-12,2015-02-13,"SA 13-12, 13-13, ptn of SA 13-14 (Sutil Point)","ALL BM, except Manila, littlenecks, oysters and mussels",biotoxins
PTN-2015-100,2015-02-12,2015-03-27,ptn of SA 13-14 (Sutil Point),"ALL BM except manila, littleneck, oysters, mussels, geoduck and horseclams",biotoxins
PTN-2015-101,2015-02-13,2015-02-27,"Area 7, except SA 7-12,  7-17 ",ALL BM,biotoxins
PTN-2015-102,2015-02-13,2015-02-27,"SA 7-12, 7-17 ","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-103,2015-02-13,2015-02-18,"17-1, 17-2, 17-9, ptn 17-6 (Penelakut)",All BM,biotoxins
PTN-2015-104,2015-02-13,2015-02-18,SA 17-5 and  ptn 17-6 (Penelakut) ,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-105,2015-02-13,2015-02-18,"SA 17-3, 17-4, 17-7, 17-8, 17-10 to 17-15, 17-17 to 17-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-106,2015-02-13,2015-02-18,"Area 18, except SA 18-7",All BM,biotoxins
PTN-2015-107,2015-02-13,2015-02-18,SA 18-7,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-108,2015-02-13,2015-03-06,"Area 16 except SA 16-1 to 16-13, 16-16 to 16-22",All B.M.,biotoxins
PTN-2015-109,2015-02-13,2015-03-06,"SA 16-1, 16-2, 16-17, 16-19 and 16-22","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-110,2015-02-13,2015-03-06,"SA 16-3, 16-4, 16-10, 16-11, 16-16, 16-18, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-111,2015-02-13,2015-04-29,Area 25 except SA 25-1 to 25-16,All BM,biotoxins
PTN-2015-112,2015-02-13,2015-04-29, SA 25-1 to 25-16,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-113,2015-02-13,2015-02-17,"Area 1 to 29 except SA 13-1, 13-14 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5 (except ptn south of) and 17-20",Scallops,biotoxins
PTN-2015-114,2015-02-13,2015-02-17,"Area 13 except SA 13-1, 13-14 to 13-16",All B.M.,biotoxins
PTN-2015-115,2015-02-13,2015-02-17,Ptn of SA 13-14 (Sutil Point),"ALL BM, except Manila, littlenecks, oysters and mussels",biotoxins
PTN-2015-116,2015-02-17,2015-02-19,"Area 12, except 12-6, and 12-26",ALL BM,biotoxins
PTN-2015-117,2015-02-17,2015-02-19,"SA 12-6,  AND 12-26",ALL BM except Butter clams and Cockles,biotoxins
PTN-2015-118,2015-02-17,2015-03-27,"Area 13 except SA 13-1, 13-12 to 13-16",All B.M.,biotoxins
PTN-2015-119,2015-02-17,2015-03-27,"SA 13-12, 13-13, Ptn of SA 13-14 (Sutil Point)","ALL BM, except Manila, littlenecks, oysters and mussels",biotoxins
PTN-2015-120,2015-02-17,2015-04-10,"Area 1 to 29 except SA 13-1, 13-12 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5 (except ptn south of Raza Island) and 17-20",Scallops,biotoxins
PTN-2015-121,2015-02-18,2015-05-08,SA 17-5 and 17-6,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-122,2015-02-18,2015-05-08,"SA 17-1 TO 17-4, 17-7 to 17-15, 17-17 to 17-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-123,2015-02-18,2015-06-02,"Area 18, except SA 18-2, 18-3, 18-7",All BM,biotoxins
PTN-2015-124,2015-02-18,2015-03-16,"SA 18-2, 18-3, 18-7","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-125,2015-02-19,2015-02-23,"Area 2 except SA 2-3, 2-7 , 2-12, 2-13",All BM,biotoxins
PTN-2015-126,2015-02-19,2015-02-23,"SA 2-3, 2-7, 2-12, 2-13",All BM except geoduck and horseclams,biotoxins
PTN-2015-127,2015-02-19,2015-03-17,"Area 12, except 12-6, 12-16, 12-17 and 12-26",ALL BM,biotoxins
PTN-2015-128,2015-02-19,2015-02-20,"SA 12-6,  12-16, 12-17 AND 12-26",ALL BM except Butter clams and Cockles,biotoxins
PTN-2015-129,2015-02-20,2015-05-08,"SA 12-6,   12-26",ALL BM except Butter clams and Cockles,biotoxins
PTN-2015-130,2015-02-20,2015-03-17,SA 12-16 and 12-17,"All BM except mussels, butter clams, cockles",biotoxins
PTN-2015-131,2015-02-20,2015-03-03,"Area 23, except SA 23-3 to 23-5, 23-10 and and ptn 23-6 (Effingham Inlet)",All BM,biotoxins
PTN-2015-132,2015-02-20,2015-03-03,"SA 23-3 to 23-5, 23-10 and ptn 23-6 (Effingham Inlet)","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-133,2015-02-20,2015-02-27,"Area 19, except SA 19-7 TO 19-12",All BM,biotoxins
PTN-2015-134,2015-02-20,2015-02-27,SA 19-7 TO 19-12,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-135,2015-02-23,2015-03-10,"Area 2 except SA 2-12, 2-13",All BM,biotoxins
PTN-2015-136,2015-02-23,2015-03-10,"SA 2-12, 2-13",All BM except geoduck and horseclams,biotoxins
PSN-2015-137,2015-02-25,2015-05-07,portion of Area 14 (14.oo Northern Baynes Sound),All BM,sanitary closure
PTN-2015-138,2015-02-27,2015-04-24,Area 4 except Ptn of SA 4-9,All B.M.,biotoxins
PTN-2015-139,2015-02-27,2015-04-24,Ptn of SA 4-9,All B.M. except scallops,biotoxins
PTN-2015-140,2015-02-27,2015-11-13,Area 7,All B.M.,biotoxins
PTN-2015-141,2015-02-27,2015-04-24,Area 19 except SA 19-5 to 19-12,All B.M.,biotoxins
PTN-2015-142,2015-02-27,2015-03-18,SA 19-5 to 19-12,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-143,2015-02-27,2015-03-13,"Area 24 except SA 24-4, 24-6, 24-7 and 24-9",All B.M.,biotoxins
PTN-2015-144,2015-02-27,2015-03-03,SA 24-7,All BM except geoduck and horseclams,biotoxins
PTN-2015-145,2015-02-27,2015-03-13,SA 24-4,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-146,2015-03-02,2015-03-13,SA 24-6 AND 24-7,All BM except geoduck and horseclams,biotoxins
PTN-2015-147,2015-03-03,2015-04-02,"Area 23, except SA 23-3 to 23-6, 23-10",All BM,biotoxins
PTN-2015-148,2015-03-03,2015-04-02,"SA 23-3 to 23-6, 23-10","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-149,2015-03-03,2015-03-20,"Area 26, EXCEPT SA 26-3",All BM,biotoxins
PTN-2015-150,2015-03-03,2015-03-20,SA 26-3,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-151,2015-03-06,2015-03-13,"Area 16 except SA 16-1, 16-2, 16-5 to 16-9, 16-11 to 16-13, 16-16, 16-18 to 16-22",All B.M.,biotoxins
PTN-2015-152,2015-03-06,2015-03-13,"SA 16-1, 16-2, 16-19 and 16-22","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-153,2015-03-06,2015-03-13,"SA 16-11, 16-16, 16-18, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-154,2015-03-10,2015-03-17,Area 2,All BM,biotoxins
PSN-2015-155,2015-03-11,2015-03-19,"14.pp Aquaculture lease #140083 (portion of 14-8 Deep Bay, Baynes Sound)",All BM,sanitary closure
PTN-2015-156,2015-03-13,2015-04-02,"Area 16 except SA 16-1 to 16-13, 16-16 to 16-22",All B.M.,biotoxins
PTN-2015-157,2015-03-13,2015-03-17,"SA 16-1, 16-2, 16-17. 16-19 and 16-22","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-158,2015-03-13,2015-03-17,"SA 16-3, 16-4, 16-10, 16-11, 16-16, 16-18, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-159,2015-03-13,2015-03-17,"Area 24 except SA 24-2 to 24-7, 24-9, 24-13 and 24-14",All B.M.,biotoxins
PTN-2015-160,2015-03-13,2015-03-17,SA 24-2 AND 24-5 TO 24-7,All BM except geoduck and horseclams,biotoxins
PTN-2015-161,2015-03-13,2015-03-17,"SA 24-3, 24-4, 24-13 and 24-14","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-162,2015-03-16,2015-04-02,SA 18-2 and 18-3,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-163,2015-03-16,2015-04-02,SA 18-7,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-164,2015-03-17,2015-04-08,"SA 16-1, 16-2, 16-19 and 16-22","All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-165,2015-03-17,2015-04-02,"SA 16-3, 16-4, 16-10, 16-11, 16-16 TO 16-18, 16-20 and 16-21","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-166,2015-03-17,2015-04-24,"Area 24 except SA 24-3, 24-4, 24-9, 24-13 and 24-14",All B.M.,biotoxins
PTN-2015-167,2015-03-17,2015-04-24,"SA 24-3, 24-4, 24-9, 24-13 AND 24-14","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-168,2015-03-17,2015-05-14,SA 14-11.,Gducks and Hclams,biotoxins
PTN-2015-169,2015-03-17,2015-04-08,"Area 2, EXCEPT SA 2-18",All BM,biotoxins
PTN-2015-170,2015-03-17,2015-04-08,SA 2-18,All BM except Gducks & Hclams,biotoxins
PTN-2015-171,2015-03-17,2015-03-20,"Area 12, except 12-6,  and 12-26",ALL BM,biotoxins
PTN-2015-172,2015-03-18,2015-03-20,SA 19-6 to 19-12,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-173,2015-03-18,2015-03-20,SA 19-5,"All BM except Manila, littleneck, oysters and mussels,  Gducks & Hclams",biotoxins
PTN-2015-174,2015-03-18,2015-03-26,Area 1,All B.M.,biotoxins
PTN-2015-175,2015-03-20,2015-05-08,"Area 26, EXCEPT SA 26-3, 26-5, 26-6",All BM,biotoxins
PTN-2015-176,2015-03-20,2015-05-08,"SA 26-3, 26-5, 26-6","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-177,2015-03-20,2015-05-08,"Area 12, except 12-6,  12-16, 12-17 and 12-26",ALL BM,biotoxins
PTN-2015-178,2015-03-20,2015-05-22,SA 12-16 and 12-17,"All BM except mussels, butter clams, cockles",biotoxins
PTN-2015-179,2015-03-20,2015-04-24,SA 19-5 to 19-12,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2015-180,2015-03-26,2015-07-10,"Area 1, EXCEPT SA 1-5",All B.M.,biotoxins
PTN-2015-181,2015-03-26,2015-07-10,SA 1-5,All B.M. except razor clams,biotoxins
