rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
North Vancouver Island,2015,pacific_cod,PCOD5AB,19983.191581269733,13240157.73,0.0015092865197512818
North Vancouver Island,2015,pacific_cod,PCODWCVANI,14346.238418730267,13240157.73,0.0010835398422953883
Aristazabal Island,2015,pacific_cod,PCOD5AB,21.360258505456667,28485.460000000003,7.498653174446425e-4
Aristazabal Island,2015,pacific_cod,PCODHS,786.4197414945432,28485.460000000003,0.027607759941196075
Pacific Offshore,2015,pacific_cod,NA,151.44,41301.17,NA
West Vancouver Island,2014,pacific_cod,PCODWCVANI,319765.8,31301029.080000002,0.010215823869008718
Strait of Georgia,2014,pacific_cod,NA,3124.29,15508684.950623112,NA
North Coast,2014,pacific_cod,PCODHS,279056.36,830930.46,0.3358359976357107
Haida Gwaii,2014,pacific_cod,PCOD5AB,65730.78343465402,5381161.89,0.012214979734544657
Haida Gwaii,2014,pacific_cod,PCODHS,275856.1965653459,5381161.89,0.05126331491308208
Central Coast,2014,pacific_cod,PCOD5AB,248023.26802254748,2235712.94,0.11093699176896453
Central Coast,2014,pacific_cod,PCODHS,31834.501977452554,2235712.94,0.014239082937656815
North Vancouver Island,2014,pacific_cod,PCOD5AB,22846.95330473478,4623223.77,0.004941779684770651
North Vancouver Island,2014,pacific_cod,PCODWCVANI,16402.176695265218,4623223.77,0.0035477791063669886
Aristazabal Island,2014,pacific_cod,PCOD5AB,22.877567219516315,43925.350000000006,5.208283421649756e-4
Aristazabal Island,2014,pacific_cod,PCODHS,842.2824327804836,43925.350000000006,0.019175315228688754
West Vancouver Island,2013,pacific_cod,PCODWCVANI,364949.4,31231243.810000002,0.011685394351253665
Strait of Georgia,2013,pacific_cod,NA,3679.98,14096211.830460355,NA
North Coast,2013,pacific_cod,PCODHS,433372.4,1183364.02,0.36622070020347586
Haida Gwaii,2013,pacific_cod,PCOD5AB,37949.00145767451,5786972.91,0.00655766011831469
Haida Gwaii,2013,pacific_cod,PCODHS,159262.77854232548,5786972.91,0.027520913095535032
Central Coast,2013,pacific_cod,PCOD5AB,207543.9723956971,4682897.63,0.04431956211600917
Central Coast,2013,pacific_cod,PCODHS,26638.867604302908,4682897.63,0.005688543655886603
North Vancouver Island,2013,pacific_cod,PCOD5AB,13589.733079991103,18195198.150000002,7.468856875291078e-4
North Vancouver Island,2013,pacific_cod,PCODWCVANI,9756.276920008895,18195198.150000002,5.362006414867702e-4
Aristazabal Island,2013,pacific_cod,PCOD5AB,8.626553185564298,32967.89,2.6166531086958545e-4
Aristazabal Island,2013,pacific_cod,PCODHS,317.6034468144357,32967.89,0.009633720775410125
West Vancouver Island,2012,pacific_cod,PCODWCVANI,377189.11,27955083.53,0.01349268406210339
Strait of Georgia,2012,pacific_cod,NA,3688.19,11309120.898615398,NA
North Coast,2012,pacific_cod,PCODHS,468486.34,1012947.5,0.4624981452641919
Haida Gwaii,2012,pacific_cod,PCOD5AB,42994.23342540255,5858837.890000001,0.007338355187943687
Haida Gwaii,2012,pacific_cod,PCODHS,180436.39657459743,5858837.890000001,0.030797301437981484
Central Coast,2012,pacific_cod,PCOD5AB,141206.4985428712,6651097.05,0.021230557527779755
